lyh	sci	fi	sv	en
STRNEB	Strix nebulosa	lapinpöllö	lappuggla	Great Grey Owl
ASIOTU	Asio otus	sarvipöllö	hornuggla	Long-eared Owl
ASIFLA	Asio flammeus	suopöllö	jorduggla	Short-eared Owl
AEGFUN	Aegolius funereus	helmipöllö	pärluggla	Boreal Owl
CAPEUR	Caprimulgus europaeus	kehrääjä	nattskärra	European Nightjar
HIRCAU	Hirundapus caudacutus	piikkipyrstökiitäjä	taggstjärtseglare	White-throated Needletail
APUAPU	Apus apus	tervapääsky	tornseglare	Common Swift
APUPAL	Apus pallidus	vaaleakiitäjä	blek tornseglare	Pallid Swift
APUMEL	Apus melba	alppikiitäjä	alpseglare	Alpine Swift
APUCAF	Apus caffer	häätökiitäjä	kafferseglare	White-rumped Swift
ALCATT	Alcedo atthis	kuningaskalastaja	kungsfiskare	Common Kingfisher
MERAPI	Merops apiaster	mehiläissyöjä	biätare	European Bee-eater
MERPER	Merops persicus	vihermehiläissyöjä	grön biätare	Blue-cheeked Bee-eater
CORGAR	Coracias garrulus	sininärhi	blåkråka	European Roller
UPUEPO	Upupa epops	harjalintu	härfågel	Hoopoe
JYNTOR	Jynx torquilla	käenpiika	göktyta	Eurasian Wryneck
PICCAN	Picus canus	harmaapäätikka	gråspett	Grey-headed Woodpecker
PICVIR	Picus viridis	vihertikka	gröngöling	European Green Woodpecker
DRYMAR	Dryocopus martius	palokärki	spillkråka	Black Woodpecker
DENMAJ	Dendrocopos major	käpytikka	större hackspett	Great Spotted Woodpecker
DENMED	Dendrocopos medius	tammitikka	mellanspett	Middle Spotted Woodpecker
DENLEU	Dendrocopos leucotos	valkoselkätikka	vitryggig hackspett	White-backed Woodpecker
DENMIN	Dendrocopos minor	pikkutikka	mindre hackspett	Lesser Spotted Woodpecker
PICTRI	Picoides tridactylus	pohjantikka	tretåig hackspett	Three-toed Woodpecker
MELCAL	Melanocorypha calandra	arokiuru	kalanderlärka	Calandra Lark
MELBIM	Melanocorypha bimaculata	ylänkökiuru	asiatisk kalanderlärka	Bimaculated Lark
MELLEU	Melanocorypha leucoptera	valkosiipikiuru	vitvingad lärka	White-winged Lark
MELYEL	Melanocorypha yeltoniensis	mustakiuru	svartlärka	Black Lark
CALBRA	Calandrella brachydactyla	lyhytvarvaskiuru	korttålärka	Greater Short-toed Lark
CALENS	Calandrella rufescens	pikkukiuru	dvärglärka	Lesser Short-toed Lark
GALCRI	Galerida cristata	töyhtökiuru	tofslärka	Crested Lark
LULARB	Lullula arborea	kangaskiuru	trädlärka	Woodlark
ALAARV	Alauda arvensis	kiuru	sånglärka	Eurasian Skylark
EREALP	Eremophila alpestris	tunturikiuru	berglärka	Horned Lark
RIPRIP	Riparia riparia	törmäpääsky	backsvala	Sand Martin
PTYRUP	Ptyonoprogne rupestris	kalliopääsky	klippsvala	Eurasian Crag Martin
HIRRUS	Hirundo rustica	haarapääsky	ladusvala	Barn Swallow
DELURB	Delichon urbicum	räystäspääsky	hussvala	Common House Martin
CECDAU	Cecropis daurica	ruostepääsky	rostgumpsvala	Red-rumped Swallow
ANTRIC	Anthus richardi	isokirvinen	större piplärka	Richard's Pipit
ANTGOD	Anthus godlewskii	mongoliankirvinen	mongolpiplärka	Blyth's Pipit
ANTCAM	Anthus campestris	nummikirvinen	fältpiplärka	Tawny Pipit
ANTHOD	Anthus hodgsoni	taigakirvinen	sibirisk piplärka	Olive-backed Pipit
ANTTRI	Anthus trivialis	metsäkirvinen	trädpiplärka	Tree Pipit
ANTGUS	Anthus gustavi	tundrakirvinen	tundrapiplärka	Pechora Pipit
ANTPRA	Anthus pratensis	niittykirvinen	ängspiplärka	Meadow Pipit
ANTCER	Anthus cervinus	lapinkirvinen	rödstrupig piplärka	Red-throated Pipit
ANTPET	Anthus petrosus	luotokirvinen	skärpiplärka	Eurasian Rock Pipit
MOTFLA	Motacilla flava	keltavästäräkki	gulärla	Yellow Wagtail
MOTCIT	Motacilla citreola	sitruunavästäräkki	citronärla	Citrine Wagtail
MOTCIN	Motacilla cinerea	virtavästäräkki	forsärla	Grey Wagtail
MOTALB	Motacilla alba	västäräkki	sädesärla	White Wagtail
BOMGAR	Bombycilla garrulus	tilhi	sidensvans	Bohemian Waxwing
CINCIN	Cinclus cinclus	koskikara	strömstare	White-throated Dipper
TROTRO	Troglodytes troglodytes	peukaloinen	gärdsmyg	Winter Wren
PRUMOD	Prunella modularis	rautiainen	järnsparv	Dunnock
PRUMON	Prunella montanella	taigarautiainen	sibirisk järnsparv	Siberian Accentor
PRUATR	Prunella atrogularis	mustakurkkurautiainen	svartstrupig järnsparv	Black-throated Accentor
PRUCOL	Prunella collaris	alppirautiainen	alpjärnsparv	Alpine Accentor
CERGAL	Cercotrichas galactotes	ruostepyrstö	trädnäktergal	Rufous-tailed Scrub Robin
ERIRUB	Erithacus rubecula	punarinta	rödhake	European Robin
LUSLUS	Luscinia luscinia	satakieli	näktergal	Thrush Nightingale
LUSMEG	Luscinia megarhynchos	etelänsatakieli	sydnäktergal	Common Nightingale
LUSSVE	Luscinia svecica	sinirinta	blåhake	Bluethroat
CALCAL	Calliope calliope	rubiinisatakieli	rubinnäktergal	Siberian Rubythroat
TARCYA	Tarsiger cyanurus	sinipyrstö	tajgablåstjärt	Red-flanked Bluetail
PHOOCH	Phoenicurus ochruros	mustaleppälintu	svart rödstjärt	Black Redstart
PHOPHO	Phoenicurus phoenicurus	leppälintu	rödstjärt	Common Redstart
SAXTRA	Saxicola rubetra	pensastasku	buskskvätta	Whinchat
SAXCAP	Saxicola caprata	nokitasku	svart buskskvätt	Pied Bush Chat
SAXMAU	Saxicola maurus	sepeltasku	vitgumpad buskskvätta	Siberian Stonechat
SAXOLA	Saxicola rubicola	mustapäätasku	svarthakad buskskvätta	European Stonechat
OENISA	Oenanthe isabellina	arotasku	isabellastenskvätta	Isabelline Wheatear
OENOEN	Oenanthe oenanthe	kivitasku	stenskvätta	Northern Wheatear
OENPLE	Oenanthe pleschanka	nunnatasku	nunnestenskvätta	Pied Wheatear
OENHIS	Oenanthe hispanica	rusotasku	medelhavsstenskvätta	Black-eared Wheatear
OENDES	Oenanthe deserti	aavikkotasku	ökenstenskvätta	Desert Wheatear
MONSAX	Monticola saxatilis	kivikkorastas	stentrast	Common Rock Thrush
MONSOL	Monticola solitarius	sinirastas	blåtrast	Blue Rock Thrush
ZOODAU	Zoothera dauma	kirjorastas	guldtrast	White's Thrush
CATUST	Catharus ustulatus	korpirastas	beigekindad skogstrast	Swainson's Thrush
TURTOR	Turdus torquatus	sepelrastas	ringtrast	Ring Ouzel
TURMER	Turdus merula	mustarastas	koltrast	Common Blackbird
TUROBS	Turdus obscurus	harmaakurkkurastas	gråhalsad trast	Eyebrowed Thrush
TURNAU	Turdus naumanni	ruosterastas	rödtrast	Naumann's Thrush
TUREUN	Turdus eunomus	ruostesiipirastas	bruntrast	Dusky Thrush
TURATR	Turdus atrogularis	mustakaularastas	svarthalsad trast	Black-throated Thrush
TURPIL	Turdus pilaris	räkättirastas	björktrast	Fieldfare
TURPHI	Turdus philomelos	laulurastas	taltrast	Song Thrush
TURILI	Turdus iliacus	punakylkirastas	rödvingetrast	Redwing
TURVIS	Turdus viscivorus	kulorastas	dubbeltrast	Mistle Thrush
LOCCER	Locustella certhiola	sarasirkkalintu	starrsångare	Pallas's Grasshopper Warbler
LOCLAN	Locustella lanceolata	viirusirkkalintu	träsksångare	Lanceolated Warbler
LOCNAE	Locustella naevia	pensassirkkalintu	gräshoppsångare	Common Grasshopper Warbler
LOCFLU	Locustella fluviatilis	viitasirkkalintu	flodsångare	River Warbler
LOCLUS	Locustella luscinioides	ruokosirkkalintu	vassångare	Savi's Warbler
IDUAED	Iduna aedon	paksunokkakerttunen	tjocknäbbad sångare	Thick-billed Warbler
IDUCAL	Iduna caligata	pikkukultarinta	stäppsångare	Booted Warbler
IDURAM	Iduna rama	aavikkokultarinta	saxaulsångare	Syke's Warbler
IDUPAL	Iduna pallida	vaaleakultarinta	eksångare	Eastern Olivaceous Warbler
HIPICT	Hippolais icterina	kultarinta	härmsångare	Icterine Warbler
ACROLA	Acrocephalus paludicola	sarakerttunen	vattensångare	Aquatic Warbler
ACRSCH	Acrocephalus schoenobaenus	ruokokerttunen	sävsångare	Sedge Warbler
ACRAGR	Acrocephalus agricola	kenttäkerttunen	fältsångare	Paddyfield Warbler
ACRDUM	Acrocephalus dumetorum	viitakerttunen	busksångare	Blyth's Reed Warbler
ACRRIS	Acrocephalus palustris	luhtakerttunen	kärrsångare	Marsh Warbler
ACRSCI	Acrocephalus scirpaceus	rytikerttunen	rörsångare	Eurasian Reed Warbler
ACRARU	Acrocephalus arundinaceus	rastaskerttunen	trastsångare	Great Reed Warbler
SYLUND	Sylvia undata	ruskokerttu	provencesångare	Dartford Warbler
SYLCAN	Sylvia cantillans	rusorintakerttu	rödstrupig sångare	Subalpine Warbler
SYLMEL	Sylvia melanocephala	samettipääkerttu	sammetshätta	Sardinian Warbler
SYLRUP	Sylvia ruppeli	mustakurkkukerttu	svarthakad sångare	Rüppell's Warbler
SYLNAN	Sylvia nana	kääpiökerttu	ökensångare	Asian Desert Warbler
SYLNIS	Sylvia nisoria	kirjokerttu	höksångare	Barred Warbler
SYLCUR	Sylvia curruca	hernekerttu	ärtsångare	Lesser Whitethroat
SYLCOM	Sylvia communis	pensaskerttu	törnsångare	Common Whitethroat
SYLBOR	Sylvia borin	lehtokerttu	trädgårdssångare	Garden Warbler
SYLATR	Sylvia atricapilla	mustapääkerttu	svarthätta	Eurasian Blackcap
PHYCOR	Phylloscopus coronatus	amurinuunilintu	östlig kronsångare	Eastern Crowned Warbler
PHYNIT	Phylloscopus nitidus	kaukasianuunilintu	kaukasisk lundsångare	Green Warbler
PHYPLU	Phylloscopus plumbeitarsus	burjatianuunilintu	sibirisk lundsångare	Two-barred Warbler
PHYDES	Phylloscopus trochiloides	idänuunilintu	lundsångare	Greenish Warbler
PHYBOR	Phylloscopus borealis	lapinuunilintu	nordsångare	Arctic Warbler
PHYPRO	Phylloscopus proregulus	hippiäisuunilintu	kungsfågelsångare	Pallas's Leaf Warbler
PHYINO	Phylloscopus inornatus	taigauunilintu	tajgasångare	Yellow-browed Warbler
PHYHUM	Phylloscopus humei	kashmirinuunilintu	bergstajgasångare	Hume's Leaf Warbler
PHYSCH	Phylloscopus schwarzi	siperianuunilintu	videsångare	Radde's Warbler
PHYFUS	Phylloscopus fuscatus	ruskouunilintu	brunsångare	Dusky Warbler
PHYBON	Phylloscopus bonelli	vuoriuunilintu	bergsångare	Western Bonelli's Warbler
PHYORI	Phylloscopus orientalis	balkaninuunilintu	balkansångare	Eastern Bonelli's Warbler
PHYSIB	Phylloscopus sibilatrix	sirittäjä	grönsångare	Wood Warbler
PHYCOL	Phylloscopus collybita	tiltaltti	gransångare	Common Chiffchaff
PHYIBE	Phylloscopus ibericus	iberiantiltaltti	iberisk gransångare	Iberian Chiffchaff
PHYLUS	Phylloscopus trochilus	pajulintu	lövsångare	Willow Warbler
REGREG	Regulus regulus	hippiäinen	kungsfågel	Goldcrest
REGIGN	Regulus ignicapilla	tulipäähippiäinen	brandkronad kungsfågel	Common Firecrest
MUSSTR	Muscicapa striata	harmaasieppo	grå flugsnappare	Spotted Flycatcher
FICPAR	Ficedula parva	pikkusieppo	mindre flugsnappare	Red-breasted Flycatcher
FICLLA	Ficedula albicilla	idänpikkusieppo	tajgaflugsnappare	Taiga Flycatcher
FICALB	Ficedula albicollis	sepelsieppo	halsbandsflugsnappare	Collared Flycatcher
FICHYP	Ficedula hypoleuca	kirjosieppo	svartvit flugsnappare	European Pied Flycatcher
PANBIA	Panurus biarmicus	viiksitimali	skäggmes	Bearded Reedling
AEGCAU	Aegithalos caudatus	pyrstötiainen	stjärtmes	Long-tailed Tit
CYACYA	Cyanistes cyanus	valkopäätiainen	azurmes	Azure Tit
CYACAE	Cyanistes caeruleus	sinitiainen	blåmes	Eurasian Blue Tit
PARMAJ	Parus major	talitiainen	talgoxe	Great Tit
PERATE	Periparus ater	kuusitiainen	svartmes	Coal Tit
LOPCRI	Lophophanes cristatus	töyhtötiainen	tofsmes	European Crested Tit
POEPAL	Poecile palustris	viitatiainen	entita	Marsh Tit
POEMON	Poecile montanus	hömötiainen	talltita	Willow Tit
POECIN	Poecile cinctus	lapintiainen	lappmes	Grey-headed Chickadee
SITEUR	Sitta europaea	pähkinänakkeli	nötväcka	Eurasian Nuthatch
CERFAM	Certhia familiaris	puukiipijä	trädkrypare	Eurasian Treecreeper
REMPEN	Remiz pendulinus	pussitiainen	pungmes	Eurasian Penduline Tit
