lyh	sci	fi	sv	en
HISHIS	Histrionicus histrionicus	virta-alli	strömand	Harlequin Duck
CLAHYE	Clangula hyemalis	alli	alfågel	Long-tailed Duck
MELNIG	Melanitta nigra	mustalintu	sjöorre	Common Scoter
MELAME	Melanitta americana	amerikanmustalintu	amerikansk sjöorre	Black Scoter
MELPER	Melanitta perspicillata	pilkkaniska	vitnackad svärta	Surf Scoter
MELFUS	Melanitta fusca	pilkkasiipi	svärta	Velvet Scoter
MELDEG	Melanitta deglandi	kyhmypilkkasiipi	knölsvärta	White-winged Scoter
BUCCLA	Bucephala clangula	telkkä	knipa	Common Goldeneye
MERALB	Mergellus albellus	uivelo	salskrake	Smew
MERSER	Mergus serrator	tukkakoskelo	småskrake	Red-breasted Merganser
MERMER	Mergus merganser	isokoskelo	storskrake	Common Merganser
OXYJAM	Oxyura jamaicensis	kuparisorsa	amerikansk kopparand	Ruddy Duck
COTCOT	Coturnix coturnix	viiriäinen	vaktel	Common Quail
TETBON	Tetrastes bonasia	pyy	järpe	Hazel Grouse
LAGLAG	Lagopus lagopus	riekko	dalripa	Willow Ptarmigan
LAGMUT	Lagopus muta	kiiruna	fjällripa	Rock Ptarmigan
TETRIX	Tetrao tetrix	teeri	orre	Black Grouse
TETURO	Tetrao urogallus	metso	tjäder	Western Capercaillie
PERPER	Perdix perdix	peltopyy	rapphöna	Grey Partridge
PHACOL	Phasianus colchicus	fasaani	fasan	Common Pheasant
GAVSTE	Gavia stellata	kaakkuri	smålom	Red-throated Loon
GAVARC	Gavia arctica	kuikka	storlom	Black-throated Loon
GAVPAC	Gavia pacifica	tundrakuikka	stillahavslom	Pacific Loon
GAVIMM	Gavia immer	amerikanjääkuikka	svartnäbbad islom	Great Northern Loon
GAVADA	Gavia adamsii	jääkuikka	vitnäbbad islom	Yellow-billed Loon
TACRUF	Tachybaptus ruficollis	pikku-uikku	smådopping	Little Grebe
PODCRI	Podiceps cristatus	silkkiuikku	skäggdopping	Great Crested Grebe
PODGRI	Podiceps grisegena	härkälintu	gråhakedopping	Red-necked Grebe
PODAUR	Podiceps auritus	mustakurkku-uikku	svarthakedopping	Horned Grebe
PODNIG	Podiceps nigricollis	mustakaulauikku	svarthalsad dopping	Black-necked Grebe
FULGLA	Fulmarus glacialis	myrskylintu	stormfågel	Northern Fulmar
PUFGRI	Puffinus griseus	nokiliitäjä	grålira	Sooty Shearwater
PUFPUF	Puffinus puffinus	pikkuliitäjä	mindre lira	Manx Shearwater
HYDPEL	Hydrobates pelagicus	merikeiju	stormsvala	European Storm Petrel
OCELEU	Oceanodroma leucorhoa	myrskykeiju	klykstjärtad stormsvala	Leach's Storm Petrel
OCECAS	Oceanodroma castro	madeirankeiju	oceanlöpare	Band-rumped Storm Petrel
MORBAS	Morus bassanus	suula	havssula	Northern Gannet
PHACAR	Phalacrocorax carbo	merimetso	storskarv	Great Cormorant
PHAARI	Phalacrocorax aristotelis	karimetso	toppskarv	European Shag
PELONO	Pelecanus onocrotalus	pelikaani	vit pelikan	Great White Pelican
BOTSTE	Botaurus stellaris	kaulushaikara	rördrom	Eurasian Bittern
IXOMIN	Ixobrychus minutus	pikkuhaikara	dvärgrördrom	Little Bittern
NYCNYC	Nycticorax nycticorax	yöhaikara	natthäger	Black-crowned Night Heron
ARDRAL	Ardeola ralloides	rääkkähaikara	rallhäger	Squacco Heron
BUBIBI	Bubulcus ibis	lehmähaikara	kohäger	Cattle Egret
EGRGAR	Egretta garzetta	silkkihaikara	silkeshäger	Little Egret
EGRALB	Egretta alba	jalohaikara	ägretthäger	Great Egret
ARDCIN	Ardea cinerea	harmaahaikara	grå häger	Grey Heron
ARDPUR	Ardea purpurea	ruskohaikara	purpurhäger	Purple Heron
CICNIG	Ciconia nigra	mustahaikara	svart stork	Black Stork
CICCIC	Ciconia ciconia	kattohaikara	vit stork	White Stork
PLEFAL	Plegadis falcinellus	pronssi-iibis	bronsibis	Glossy Ibis
PLALEU	Platalea leucorodia	kapustahaikara	skedstork	Eurasian Spoonbill
PERAPI	Pernis apivorus	mehiläishaukka	bivråk	European Honey Buzzard
MILMIG	Milvus migrans	haarahaukka	brun glada	Black Kite
MILMIL	Milvus milvus	isohaarahaukka	röd glada	Red Kite
HALLEU	Haliaeetus leucoryphus	aromerikotka	bandhavsörn	Pallas's Fish Eagle
HALALB	Haliaeetus albicilla	merikotka	havsörn	White-tailed Eagle
NEOPER	Neophron percnopterus	pikkukorppikotka	smutsgam	Egyptian Vulture
GYPFUL	Gyps fulvus	hanhikorppikotka	gåsgam	Griffon Vulture
AEGMON	Aegypius monachus	munkkikorppikotka	grågam	Cinereous Vulture
CIRGAL	Circaetus gallicus	käärmekotka	ormörn	Short-toed Snake Eagle
CIRAER	Circus aeruginosus	ruskosuohaukka	brun kärrhök	Western Marsh Harrier
CIRCYA	Circus cyaneus	sinisuohaukka	blå kärrhök	Northern Harrier
CIRMAC	Circus macrourus	arosuohaukka	stäpphök	Pallid Harrier
CIRPYG	Circus pygargus	niittysuohaukka	ängshök	Montagu's Harrier
ACCGEN	Accipiter gentilis	kanahaukka	duvhök	Northern Goshawk
ACCNIS	Accipiter nisus	varpushaukka	sparvhök	Eurasian Sparrowhawk
BUTBUT	Buteo buteo	hiirihaukka	ormvråk	Common Buzzard
BUTRUF	Buteo rufinus	arohiirihaukka	örnvråk	Long-legged Buzzard
BUTLAG	Buteo lagopus	piekana	fjällvråk	Rough-legged Buzzard
AQUCLA	Aquila clanga	kiljukotka	större skrikörn	Greater Spotted Eagle
AQUPOM	Aquila pomarina	pikkukiljukotka	mindre skrikörn	Lesser Spotted Eagle
AQUPEN	Aquila pennata	pikkukotka	dvärgörn	Booted Eagle
AQUCHR	Aquila chrysaetos	maakotka	kungsörn	Golden Eagle
AQUNIP	Aquila nipalensis	arokotka	stäppörn	Steppe Eagle
AQUHEL	Aquila heliaca	keisarikotka	kejsarörn	Eastern Imperial Eagle
PANHAL	Pandion haliaetus	sääksi	fiskgjuse	Osprey
FALNAU	Falco naumanni	pikkutuulihaukka	rödfalk	Lesser Kestrel
FALTIN	Falco tinnunculus	tuulihaukka	tornfalk	Common Kestrel
FALVES	Falco vespertinus	punajalkahaukka	aftonfalk	Red-footed Falcon
FALCOL	Falco columbarius	ampuhaukka	stenfalk	Merlin
FALSUB	Falco subbuteo	nuolihaukka	lärkfalk	Eurasian Hobby
FALELE	Falco eleonorae	välimerenhaukka	eleonorafalk	Eleonora's Falcon
FALCHE	Falco cherrug	aavikkohaukka	tatarfalk	Saker Falcon
FALRUS	Falco rusticolus	tunturihaukka	jaktfalk	Gyrfalcon
FALPER	Falco peregrinus	muuttohaukka	pilgrimsfalk	Peregrine Falcon
RALAQU	Rallus aquaticus	luhtakana	vattenrall	Water Rail
PORPOR	Porzana porzana	luhtahuitti	småfläckig sumphöna	Spotted Crake
PORPAR	Porzana parva	pikkuhuitti	mindre sumphöna	Little Crake
PORPUS	Porzana pusilla	kääpiöhuitti	dvärgsumphöna	Baillon's Crake
CRECRE	Crex crex	ruisrääkkä	kornknarr	Corn Crake
GALCHL	Gallinula chloropus	liejukana	rörhöna	Common Moorhen
PORALL	Porphyrio alleni	kurnuliejukana	mindre sultanhöna	Allen's Gallinule
FULATR	Fulica atra	nokikana	sothöna	Eurasian Coot
GRUGRU	Grus grus	kurki	trana	Common Crane
GRUCAN	Grus canadensis	hietakurki	prärietrana	Sandhill Crane
GRUVIR	Grus virgo	neitokurki	jungfrutrana	Demoiselle Crane
TETRAX	Tetrax tetrax	pikkutrappi	småtrapp	Little Bustard
CHLMAC	Chlamydotis macqueenii	idänkaulustrappi	kragtrapp	Macqueen's Bustard
OTITAR	Otis tarda	isotrappi	stortrapp	Great Bustard
BUROED	Burhinus oedicnemus	paksujalka	tjockfot	Eurasian Stone-curlew
HIMHIM	Himantopus himantopus	pitkäjalka	styltlöpare	Black-winged Stilt
RECAVO	Recurvirostra avosetta	avosetti	skärfläcka	Pied Avocet
HAEOST	Haematopus ostralegus	meriharakka	strandskata	Eurasian Oystercatcher
PLUFUL	Pluvialis fulva	siperiankurmitsa	sibirisk tundrapipare	Pacific Golden Plover
PLUDOM	Pluvialis dominica	amerikankurmitsa	amerikansk tundrapipare	American Golden Plover
PLUAPR	Pluvialis apricaria	kapustarinta	ljungpipare	European Golden Plover
PLUSQU	Pluvialis squatarola	tundrakurmitsa	kustpipare	Grey Plover
VANGRE	Vanellus gregarius	arohyyppä	stäppvipa	Sociable Lapwing
VANLEU	Vanellus leucurus	suohyyppä	sumpvipa	White-tailed Lapwing
VANVAN	Vanellus vanellus	töyhtöhyyppä	tofsvipa	Northern Lapwing
CHADUB	Charadrius dubius	pikkutylli	mindre strandpipare	Little Ringed Plover
CHAHIA	Charadrius hiaticula	tylli	större strandpipare	Common Ringed Plover
CHAALE	Charadrius alexandrinus	mustajalkatylli	svartbent strandpipare	Kentish Plover
CHAMON	Charadrius mongolus	ylänkötylli	mongolpipare	Lesser Sand Plover
CHALES	Charadrius leschenaultii	aavikkotylli	ökenpipare	Greater Sand Plover
CHAASI	Charadrius asiaticus	kaspiantylli	kaspisk pipare	Caspian Plover
CHAVER	Charadrius veredus	gobintylli	orientpipare	Oriental Plover
CHAMOR	Charadrius morinellus	keräkurmitsa	fjällpipare	Eurasian Dotterel
BARLON	Bartramia longicauda	preeriakahlaaja	piparsnäppa	Upland Sandpiper
NUMMIN	Numenius minutus	taigakuovi	dvärgspov	Little Curlew
NUMPHA	Numenius phaeopus	pikkukuovi	småspov	Whimbrel
NUMARQ	Numenius arquata	kuovi	storspov	Eurasian Curlew
LIMLIM	Limosa limosa	mustapyrstökuiri	rödspov	Black-tailed Godwit
LIMLAP	Limosa lapponica	punakuiri	myrspov	Bar-tailed Godwit
AREINT	Arenaria interpres	karikukko	roskarl	Ruddy Turnstone
CALCAN	Calidris canutus	isosirri	kustsnäppa	Red Knot
CALPUG	Calidris pugnax	suokukko	brushane	Ruff
CALACU	Calidris acuminata	suippopyrstösirri	spetsstjärtad snäppa	Sharp-tailed Sandpiper
CALFAL	Calidris falcinellus	jänkäsirriäinen	myrsnäppa	Broad-billed Sandpiper
CALFER	Calidris ferruginea	kuovisirri	spovsnäppa	Curlew Sandpiper
CALHIM	Calidris himantopus	pitkäkoipisirri	styltsnäppa	Stilt Sandpiper
CALRCO	Calidris ruficollis	rusokaulasirri	rödhalsad snäppa	Red-necked Stint
CALSMI	Calidris subminuta	siperiansirri	långtåsnäppa	Long-toed Stint
CALTEM	Calidris temminckii	lapinsirri	mosnäppa	Temminck's Stint
CALALB	Calidris alba	pulmussirri	sandlöpare	Sanderling
CALALP	Calidris alpina	suosirri	kärrsnäppa	Dunlin
CALMAR	Calidris maritima	merisirri	skärsnäppa	Purple Sandpiper
CALBAI	Calidris bairdii	eskimosirri	gulbröstad snäppa	Baird's Sandpiper
CALUTA	Calidris minuta	pikkusirri	småsnäppa	Little Stint
CALFUS	Calidris fuscicollis	valkoperäsirri	vitgumpsnäppa	White-rumped Sandpiper
CALLLA	Calidris minutilla	amerikansirri	dvärgsnäppa	Least Sandpiper
CALSRU	Calidris subruficollis	tundravikla	prärielöpare	Buff-breasted Sandpiper
CALMEL	Calidris melanotos	palsasirri	tuvsnäppa	Pectoral Sandpiper
PHATRI	Phalaropus tricolor	amerikanvesipääsky	wilsonsimsnäppa	Wilson's Phalarope
PHALOB	Phalaropus lobatus	vesipääsky	smalnäbbad simsnäppa	Red-necked Phalarope
